Date,Days,Rate,Discount
56801,13885,2.5212790602159,0.3832291426725
56984,14068,2.5189016702057,0.3787621613112
57166,14250,2.5168796369582,0.3743300468511
57350,14434,2.5145110357887,0.3699569779534
57531,14615,2.5126688727443,0.3656421512319
57717,14801,2.5096003361234,0.361439675037
57896,14980,2.5070994929286,0.3573851929731
58081,15165,2.504055967188,0.3533190516704
58263,15347,2.5015099319372,0.3493086868281
58445,15529,2.4985175328357,0.3454182013272
58628,15712,2.4958079892039,0.3415163013777
58811,15895,2.4928097417028,0.3377101079165
58992,16076,2.4902682072264,0.3339347596082
59176,16260,2.4872613497787,0.3302108717761
59357,16441,2.4847106602796,0.3265379888214
59541,16625,2.4817059412131,0.3229150277776
59722,16806,2.479146788289,0.319341482118
59908,16992,2.4761141033907,0.315777978014
60090,17174,2.4734002268586,0.312301681635
60272,17356,2.4704260070375,0.3089102531744
60454,17538,2.4678311537458,0.3055090227546
60637,17721,2.464839392513,0.3021908802302
60819,17903,2.4622328033013,0.2988814341883
61002,18086,2.4592367100198,0.2956530519555
61183,18267,2.4566302517177,0.2924506601427
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
