V5 CDS Composites by Convention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
30-Jun-16,BNS,Bk Nova Scotia,CC6EHY,SNRFOR,USD,XR14,Composite,,,0.0054,0.0062,0.0071,0.0078,0.0088,0.0095,0.0101,0.0104,0.0106,40%,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,Financials,N.Amer,Canada,,AA,,,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
30-Jun-16,BNYMEL,Bk of NY Mellon Corp,06A45D,SNRFOR,USD,XR14,Composite,,0.0008,,,0.0032,0.0041,0.0053,0.0063,,,,40%,,NR,,,NR,NR,NR,NR,,,,NR,2,Financials,N.Amer,United States,,AA,,Thin,,,Thin,Thin,Thin,Thin,,,,Thin
30-Jun-16,BRAZIL,Federative Rep Brazil,115CCB,SNRFOR,USD,CR14,Composite,0.006585711,0.007962459,0.012468594,0.019221548,0.025704046,0.030785755,0.035531335,0.037813217,0.038692846,0.03892736,0.039116033,25%,BBB,AA,AA,BBB,BBB,BBB,BBB,BBB,BB,BB,BB,BBB,9,Government,Lat.Amer,Brazil,,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,BTUN-CentBank,Bqe Cen de Tunisie,06CD87,SNRFOR,USD,CR14,Composite,0.0244,0.0295,0.0355,0.0405,0.0438,0.0471,,,,,,25%,NR,NR,NR,NR,NR,NR,,,,,,NR,2,Government,Africa,Tunisia,,B,Thin,Thin,Thin,Thin,Thin,Thin,,,,,,Thin
30-Jun-16,C,Citigroup Inc,189BFD,SNRFOR,USD,XR14,Composite,0.0029,0.0038,0.0052,0.0064,0.0077,0.0093,0.0116,0.0132,0.0145,0.015,0.0156,40%,AA,AAA,AA,AAA,AA,AA,AA,BBB,BB,BB,BB,AA,9,Financials,N.Amer,United States,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,C,Citigroup Inc,189BFD,SUBLT2,USD,XR14,Composite,0.0044,0.0056,0.0078,0.0095,0.0117,0.014,0.017,0.0193,0.0197,0.0214,0.022,20.29%,A,A,A,A,A,A,A,A,BB,B,B,BBB,6,Financials,N.Amer,United States,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,C-Citibank,Citibank N A,PR9D89,SNRFOR,USD,XR14,Composite,,,,,,0.0093,0.0102,0.0109,0.0114,0.0117,0.0119,46%,,,,,,NR,NR,NR,NR,NR,NR,NR,2,Financials,N.Amer,United States,,A,,,,,,Thin,Thin,Thin,Thin,Thin,Thin,Thin
30-Jun-16,CAN,Canada,27CBJG,SNRFOR,USD,CR14,Composite,,,,,,0.0026,0.004,,,,,40%,,,,,,NR,NR,,,,,NR,2,Government,N.Amer,Canada,,AAA,,,,,,Thin,Thin,,,,,Thin
30-Jun-16,CBA,Comwlth Bk Aust,2C2983,SNRFOR,USD,MR14,Composite,0.0012,0.0016,0.0034,0.0048,0.0067,0.0083,0.0108,0.012,0.0123,0.0125,0.0126,40%,A,A,A,A,A,BB,BB,BB,NR,NR,NR,BBB,6,Financials,Oceania,Australia,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,Entity Tier
30-Jun-16,CBA,Comwlth Bk Aust,2C2983,SUBLT2,USD,MR14,Composite,0.0031,0.0035,0.0065,0.0092,0.0126,0.0155,0.0189,0.021,0.0235,0.024,0.0245,20%,A,BB,A,BB,BB,BB,BB,BB,B,B,B,BBB,5,Financials,Oceania,Australia,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,CCBP-NATIXI,Natixis,FLACBO,SNRFOR,EUR,MM14,Composite,0.0027,0.0033,0.0046,0.006,0.0075,0.0089,0.0112,0.0128,0.0132,0.0133,0.0133,40%,B,B,BBB,BBB,A,A,BBB,BBB,BBB,BBB,BBB,BBB,3,Financials,Europe,France,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,CCBP-NATIXI,Natixis,FLACBO,SUBLT2,EUR,MM14,Composite,0.013,0.0137,0.0147,0.0154,0.0169,0.0182,0.0197,0.0206,0.0209,0.0211,0.0212,20%,B,B,B,B,B,B,B,BBB,B,B,B,B,3,Financials,Europe,France,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,CHILE,Rep of Chile,17EGE9,SNRFOR,USD,CR14,Composite,0.0022,0.0032,0.0043,0.0059,0.0074,0.0092,0.012,0.0135,0.0142,0.0142,0.0145,25%,AA,A,AA,AA,AA,A,A,A,A,A,A,A,8,Government,Lat.Amer,Chile,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,CHINA,Peoples Rep China,7I343A,SNRFOR,USD,CR14,Composite,0.002415449,0.002879089,0.005042952,0.007324448,0.009779945,0.012176601,0.014899627,0.016622079,0.016884053,0.017087829,0.017208486,40%,AA,AA,AA,A,A,A,BB,BB,A,A,BB,A,7,Government,Asia,China,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,CHINA-HongKong,Hong Kong Spl Admin Region,YB764X,SNRFOR,USD,CR14,Composite,0.0009,0.0012,0.0021,0.0031,0.0041,0.0052,0.0062,0.0073,0.0078,0.0078,0.0079,38.80%,AA,AA,BBB,A,A,A,BBB,BBB,NR,NR,NR,A,5,Government,Asia,Hong Kong,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,Entity Tier
30-Jun-16,CM,Cdn Imperial Bk Comm,1E966F,SNRFOR,USD,XR14,Composite,,0.002,0.0021,0.0022,0.0024,0.0024,0.0027,0.0029,0.0034,0.0036,0.0036,40%,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,Financials,N.Amer,Canada,,AA,,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
30-Jun-16,CMZB,Commerzbank AG,2C27EG,SNRFOR,EUR,MM14,Composite,0.0071,0.0076,0.0091,0.0107,0.012,0.0134,0.0154,0.0168,0.0176,0.0178,0.0177,40.05%,A,A,A,A,A,A,A,A,BB,BB,BB,BBB,8,Financials,Europe,Germany,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,CMZB,Commerzbank AG,2C27EG,SUBLT2,EUR,MM14,Composite,0.0192,0.0204,0.0232,0.0259,0.0288,0.0316,0.034,0.0357,0.0364,0.0367,0.0368,20%,BB,BB,BB,BB,BB,BB,BB,BB,B,B,B,BB,6,Financials,Europe,Germany,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,COLOM,Rep Colombia,1AE857,SNRFOR,USD,CR14,Composite,0.004,0.006,0.0092,0.0128,0.0163,0.0201,0.0246,0.027,0.0277,0.0278,0.0281,25%,AA,AAA,AA,AAA,AAA,AAA,AAA,AAA,A,A,BB,AA,9,Government,Lat.Amer,Colombia,,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,COOERAB,Cooeperatieve Rabobank UA,NP489I,SNRFOR,EUR,MM14,Composite,0.0041,0.0047,0.0057,0.0066,0.0076,0.0085,0.01,0.0113,0.0115,0.0115,0.0115,40%,BB,BB,A,A,A,A,BBB,BBB,NR,NR,BBB,A,5,Financials,Europe,Netherlands,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,CcyGrp,Entity Tier
