V5 CDS Composites by Convention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
30-Dec-16,BMO,Bk Montreal,CC676B,SNRFOR,USD,XR14,Composite,,0.0014,0.0013,0.0014,0.0019,0.0026,0.0036,0.0045,,,,40%,,NR,NR,NR,NR,NR,NR,NR,,,,NR,2,Financials,N.Amer,Canada,,AA,,Thin,Thin,Thin,Thin,Thin,Thin,Thin,,,,Thin
30-Dec-16,BNP,BNP Paribas,05ABBF,SNRFOR,EUR,MM14,Composite,0.0033,0.0038,0.0049,0.0061,0.0072,0.0084,0.0104,0.0118,0.0126,0.0128,0.0128,40%,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,NR,NR,NR,AAA,9,Financials,Europe,France,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,BNP,BNP Paribas,05ABBF,SUBLT2,EUR,MM14,Composite,0.0096,0.0107,0.0124,0.0146,0.0168,0.0191,0.0215,0.0232,0.0242,0.0246,0.0248,20%,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,NR,NR,NR,AAA,9,Financials,Europe,France,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,BNS,Bk Nova Scotia,CC6EHY,SNRFOR,USD,XR14,Composite,0.0012,0.0016,0.0023,0.0032,0.0042,0.0054,0.0067,0.0076,0.008,0.0082,0.0083,40%,BB,BB,NR,BB,NR,BB,BB,BB,NR,NR,NR,BB,3,Financials,N.Amer,Canada,,A,CcyGrp,CcyGrp,Thin,CcyGrp,Thin,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,BNYMEL,Bk of NY Mellon Corp,06A45D,SNRFOR,USD,XR14,Composite,0.0005,0.0008,0.0013,0.0022,0.0031,0.004,0.0052,0.0061,0.0063,0.0063,0.0064,40%,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,Financials,N.Amer,United States,,AA,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
30-Dec-16,BRAZIL,Federative Rep Brazil,115CCB,SNRFOR,USD,CR14,Composite,0.00627039,0.00762666,0.01154243,0.01565413,0.02207122,0.02751531,0.03224021,0.03472371,0.03567378,0.03576848,0.0358728,25%,AA,AA,AA,AAA,AAA,AAA,AAA,AA,A,BB,BB,AAA,9,Government,Lat.Amer,Brazil,,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
30-Dec-16,BTUN-CentBank,Bqe Cen de Tunisie,06CD87,SNRFOR,USD,CR14,Composite,0.0232,0.0281,0.0353,0.0402,0.0431,0.0463,0.0484,0.05,0.0499,0.0498,0.0498,24%,BB,BB,BB,BB,BB,BB,B,B,B,B,B,BB,5,Government,Africa,Tunisia,,CCC,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
30-Dec-16,C,Citigroup Inc,189BFD,SNRFOR,USD,XR14,Composite,0.0023,0.0029,0.0039,0.0049,0.0061,0.0075,0.0097,0.0114,0.0127,0.0132,0.0138,40%,AAA,AAA,AAA,AAA,AAA,AAA,AA,AA,NR,NR,NR,AAA,9,Financials,N.Amer,United States,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,C,Citigroup Inc,189BFD,SUBLT2,USD,XR14,Composite,0.0032,0.0043,0.0057,0.0075,0.0094,0.0114,0.0143,0.0165,0.018,0.0187,0.0193,20.29%,AAA,AAA,AAA,AAA,AAA,AAA,AA,AA,NR,NR,NR,AAA,9,Financials,N.Amer,United States,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,CAN,Canada,27CBJG,SNRFOR,USD,CR14,Composite,0.0011,0.0013,0.0017,0.0022,0.0027,0.0033,0.0041,0.0047,0.0051,0.0053,0.0054,40%,BB,BB,BB,BB,BB,BB,CCC,CCC,CCC,CCC,CCC,B,4,Government,N.Amer,Canada,,AAA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
